id,date,debit,credit,amount_cents,currency,canary
t000001,2026-01-01,4000,1000,40970,USD,cdb404201976da67
t000002,2026-01-01,4000,2000,5566,USD,cdb404201976da67
t000003,2026-01-01,4471,3000,3823,USD,cdb404201976da67
t000004,2026-01-01,1000,3000,4609,USD,cdb404201976da67
t000005,2026-01-01,4471,3000,69015,USD,cdb404201976da67
t000006,2026-01-01,1200,3000,60880,USD,cdb404201976da67
t000007,2026-01-01,1000,4471,204655,USD,cdb404201976da67
t000008,2026-01-01,1000,4471,35177,USD,cdb404201976da67
t000009,2026-01-01,1200,3000,481,USD,cdb404201976da67
t000010,2026-01-01,4000,2000,181795,USD,cdb404201976da67
t000011,2026-01-01,1200,3000,113448,USD,cdb404201976da67
t000012,2026-01-01,4000,2000,123712,USD,cdb404201976da67
t000013,2026-01-01,6000,1000,63065,USD,cdb404201976da67
t000014,2026-01-01,1000,1200,9939,USD,cdb404201976da67
t000015,2026-01-01,1200,3000,178774,USD,cdb404201976da67
t000016,2026-01-01,4000,1000,219606,USD,cdb404201976da67
t000017,2026-01-01,1000,1200,56120,USD,cdb404201976da67
t000018,2026-01-01,1000,3000,191349,USD,cdb404201976da67
t000019,2026-01-01,4000,1000,228956,USD,cdb404201976da67
t000020,2026-01-01,1200,3000,15606,USD,cdb404201976da67
t000021,2026-01-01,2000,1000,115727,USD,cdb404201976da67
t000022,2026-01-01,4000,1000,1969,USD,cdb404201976da67
t000023,2026-01-01,1000,3000,8381,USD,cdb404201976da67
t000024,2026-01-01,1000,1200,207844,USD,cdb404201976da67
t000025,2026-01-01,1000,3000,1740,USD,cdb404201976da67
t000026,2026-01-01,4000,1000,172351,USD,cdb404201976da67
t000027,2026-01-01,2000,1000,1112,USD,cdb404201976da67
t000028,2026-01-01,4000,2000,92711,USD,cdb404201976da67
t000029,2026-01-01,1000,3000,7266,USD,cdb404201976da67
t000030,2026-01-01,6000,1000,48723,USD,cdb404201976da67
t000031,2026-01-01,1200,3000,233826,USD,cdb404201976da67
t000032,2026-01-01,1000,4471,8495,USD,cdb404201976da67
t000033,2026-01-01,1000,4471,20659,USD,cdb404201976da67
t000034,2026-01-01,1000,3000,145961,USD,cdb404201976da67
t000035,2026-01-01,1000,4471,61381,USD,cdb404201976da67
t000036,2026-01-01,1200,3000,96213,USD,cdb404201976da67
t000037,2026-01-01,4000,1000,43849,USD,cdb404201976da67
t000038,2026-01-01,4000,2000,1710,USD,cdb404201976da67
t000039,2026-01-01,1000,4471,221933,USD,cdb404201976da67
t000040,2026-01-02,4000,2000,149160,USD,cdb404201976da67
t000041,2026-01-02,6000,1000,6128,USD,cdb404201976da67
t000042,2026-01-02,4000,1000,3153,USD,cdb404201976da67
t000043,2026-01-02,1000,4471,4403,USD,cdb404201976da67
t000044,2026-01-02,2000,1000,4034,USD,cdb404201976da67
t000045,2026-01-02,4000,2000,61081,USD,cdb404201976da67
t000046,2026-01-02,1000,1200,1376,USD,cdb404201976da67
t000047,2026-01-02,1000,3000,24270,USD,cdb404201976da67
t000048,2026-01-02,1200,3000,15336,USD,cdb404201976da67
t000049,2026-01-02,1200,3000,222712,USD,cdb404201976da67
t000050,2026-01-02,1000,1200,29752,USD,cdb404201976da67
t000051,2026-01-02,1200,3000,136247,USD,cdb404201976da67
t000052,2026-01-02,6000,1000,128339,USD,cdb404201976da67
t000053,2026-01-02,2000,1000,7399,USD,cdb404201976da67
t000054,2026-01-02,4000,2000,4870,USD,cdb404201976da67
t000055,2026-01-02,6000,1000,143036,USD,cdb404201976da67
t000056,2026-01-02,1200,3000,26761,USD,cdb404201976da67
t000057,2026-01-02,4000,1000,61019,USD,cdb404201976da67
t000058,2026-01-02,6000,1000,248832,USD,cdb404201976da67
t000059,2026-01-02,1000,3000,45820,USD,cdb404201976da67
t000060,2026-01-02,4000,1000,45320,USD,cdb404201976da67
t000061,2026-01-02,1000,4471,148492,USD,cdb404201976da67
t000062,2026-01-02,4471,3000,5186,USD,cdb404201976da67
t000063,2026-01-02,1200,3000,164455,USD,cdb404201976da67
t000064,2026-01-02,4000,1000,9823,USD,cdb404201976da67
t000065,2026-01-02,6000,1000,1283,USD,cdb404201976da67
t000066,2026-01-02,1200,3000,210622,USD,cdb404201976da67
t000067,2026-01-02,1200,3000,94554,USD,cdb404201976da67
t000068,2026-01-02,4000,1000,210183,USD,cdb404201976da67
t000069,2026-01-02,4471,3000,40467,USD,cdb404201976da67
t000070,2026-01-02,4000,2000,58745,USD,cdb404201976da67
t000071,2026-01-02,2000,1000,20606,USD,cdb404201976da67
t000072,2026-01-02,2000,1000,5263,USD,cdb404201976da67
t000073,2026-01-02,6000,1000,2912,USD,cdb404201976da67
t000074,2026-01-02,1000,3000,163755,USD,cdb404201976da67
t000075,2026-01-02,6000,1000,8968,USD,cdb404201976da67
t000076,2026-01-02,1000,3000,49384,USD,cdb404201976da67
t000077,2026-01-02,4471,3000,217146,USD,cdb404201976da67
t000078,2026-01-02,6000,1000,101977,USD,cdb404201976da67
t000079,2026-01-02,4000,1000,203845,USD,cdb404201976da67
t000080,2026-01-03,4000,1000,226884,USD,cdb404201976da67
t000081,2026-01-03,1000,3000,700,USD,cdb404201976da67
t000082,2026-01-03,1000,3000,55783,USD,cdb404201976da67
t000083,2026-01-03,1000,1200,111575,USD,cdb404201976da67
t000084,2026-01-03,1200,3000,5992,USD,cdb404201976da67
t000085,2026-01-03,1000,3000,168897,USD,cdb404201976da67
t000086,2026-01-03,1000,3000,239667,USD,cdb404201976da67
t000087,2026-01-03,1000,3000,2591,USD,cdb404201976da67
t000088,2026-01-03,4000,1000,126563,USD,cdb404201976da67
t000089,2026-01-03,1000,3000,145682,USD,cdb404201976da67
t000090,2026-01-03,1200,3000,183635,USD,cdb404201976da67
t000091,2026-01-03,1000,1200,246735,USD,cdb404201976da67
t000092,2026-01-03,1000,3000,1880,USD,cdb404201976da67
t000093,2026-01-03,6000,1000,1305,USD,cdb404201976da67
t000094,2026-01-03,4000,1000,171700,USD,cdb404201976da67
t000095,2026-01-03,1000,3000,142933,USD,cdb404201976da67
t000096,2026-01-03,4000,1000,6435,USD,cdb404201976da67
t000097,2026-01-03,6000,1000,151719,USD,cdb404201976da67
t000098,2026-01-03,1000,1200,96960,USD,cdb404201976da67
t000099,2026-01-03,1000,1200,6412,USD,cdb404201976da67
t000100,2026-01-03,4000,2000,199424,USD,cdb404201976da67
t000101,2026-01-03,1200,3000,4387,USD,cdb404201976da67
t000102,2026-01-03,1000,1200,30682,USD,cdb404201976da67
t000103,2026-01-03,1000,1200,158199,USD,cdb404201976da67
t000104,2026-01-03,6000,1000,152513,USD,cdb404201976da67
t000105,2026-01-03,1000,3000,99646,USD,cdb404201976da67
t000106,2026-01-03,1000,4471,88081,USD,cdb404201976da67
t000107,2026-01-03,4000,2000,47281,USD,cdb404201976da67
t000108,2026-01-03,1000,4471,906,USD,cdb404201976da67
t000109,2026-01-03,1000,3000,126809,USD,cdb404201976da67
t000110,2026-01-03,1200,3000,97755,USD,cdb404201976da67
t000111,2026-01-03,1000,1200,232595,USD,cdb404201976da67
t000112,2026-01-03,1000,1200,3103,USD,cdb404201976da67
t000113,2026-01-03,1200,3000,6597,USD,cdb404201976da67
t000114,2026-01-03,1000,3000,1970,USD,cdb404201976da67
t000115,2026-01-03,4471,3000,248360,USD,cdb404201976da67
