id,date,debit,credit,amount_cents,currency
t000001,2026-01-01,4000,1000,40970,USD
t000002,2026-01-01,4000,2000,5566,USD
t000003,2026-01-01,4471,3000,3823,USD
t000004,2026-01-01,1000,3000,4609,USD
t000005,2026-01-01,4471,3000,69015,USD
t000006,2026-01-01,1200,3000,60880,USD
t000007,2026-01-01,1000,4471,204655,USD
t000008,2026-01-01,1000,4471,35177,USD
t000009,2026-01-01,1200,3000,481,USD
t000010,2026-01-01,4000,2000,181795,USD
t000011,2026-01-01,1200,3000,113448,USD
t000012,2026-01-01,4000,2000,123712,USD
t000013,2026-01-01,6000,1000,63065,USD
t000014,2026-01-01,1000,1200,9939,USD
t000015,2026-01-01,1200,3000,178774,USD
t000016,2026-01-01,4000,1000,219606,USD
t000017,2026-01-01,1000,1200,56120,USD
t000018,2026-01-01,1000,3000,191349,USD
t000019,2026-01-01,4000,1000,228956,USD
t000020,2026-01-01,1200,3000,15606,USD
t000021,2026-01-01,2000,1000,115727,USD
t000022,2026-01-01,4000,1000,1969,USD
t000023,2026-01-01,1000,3000,8381,USD
t000024,2026-01-01,1000,1200,207844,USD
t000025,2026-01-01,1000,3000,1740,USD
t000026,2026-01-01,4000,1000,172351,USD
t000027,2026-01-01,2000,1000,1112,USD
t000028,2026-01-01,4000,2000,92711,USD
t000029,2026-01-01,1000,3000,7266,USD
t000030,2026-01-01,6000,1000,48723,USD
t000031,2026-01-01,1200,3000,233826,USD
t000032,2026-01-01,1000,4471,8495,USD
t000033,2026-01-01,1000,4471,20659,USD
t000034,2026-01-01,1000,3000,145961,USD
t000035,2026-01-01,1000,4471,61381,USD
t000036,2026-01-01,1200,3000,96213,USD
t000037,2026-01-01,4000,1000,43849,USD
t000038,2026-01-01,4000,2000,1710,USD
t000039,2026-01-01,1000,4471,221933,USD
t000040,2026-01-02,4000,2000,149160,USD
t000041,2026-01-02,6000,1000,6128,USD
t000042,2026-01-02,4000,1000,3153,USD
t000043,2026-01-02,1000,4471,4403,USD
t000044,2026-01-02,2000,1000,4034,USD
t000045,2026-01-02,4000,2000,61081,USD
t000046,2026-01-02,1000,1200,1376,USD
t000047,2026-01-02,1000,3000,24270,USD
t000048,2026-01-02,1200,3000,15336,USD
t000049,2026-01-02,1200,3000,222712,USD
t000050,2026-01-02,1000,1200,29752,USD
t000051,2026-01-02,1200,3000,136247,USD
t000052,2026-01-02,6000,1000,128339,USD
t000053,2026-01-02,2000,1000,7399,USD
t000054,2026-01-02,4000,2000,4870,USD
t000055,2026-01-02,6000,1000,143036,USD
t000056,2026-01-02,1200,3000,26761,USD
t000057,2026-01-02,4000,1000,61019,USD
