sku,description,qty,unit_price
ACM-00001,bolt 57mm,8,975.65
ACM-00002,washer 37mm,7,917.76
ACM-00003,flange 50mm,27,561.93
ACM-00004,valve 9mm,38,3.78
ACM-00005,bolt 33mm,19,461.01
ACM-00006,bearing 53mm,21,258.44
ACM-00007,valve 48mm,25,526.81
ACM-00008,housing 31mm,22,551.37
ACM-00009,washer 21mm,10,721.91
ACM-00010,flange 29mm,2,378.46
ACM-00011,flange 57mm,6,600.70
ACM-00012,washer 58mm,8,822.96
ACM-00013,coupler 38mm,32,538.33
ACM-00014,washer 16mm,31,825.03
ACM-00015,sleeve 58mm,9,986.90
ACM-00016,gasket 32mm,7,440.60
ACM-00017,insert 31mm,15,125.80
ACM-00018,housing 37mm,31,983.69
ACM-00019,bolt 34mm,26,316.70
ACM-00020,spindle 20mm,31,412.55
ACM-00021,washer 31mm,18,"3,455.83"
ACM-00022,housing 46mm,34,369.25
ACM-00023,coupler 37mm,32,786.63
ACM-00024,valve 30mm,3,325.58
ACM-00025,coupler 55mm,33,945.23
ACM-00026,flange 25mm,31,665.34
ACM-00027,gasket 30mm,7,878.52
ACM-00028,sleeve 55mm,1,463.74
ACM-00029,valve 41mm,6,204.31
ACM-00030,bolt 50mm,3,980.34
ACM-00031,washer 38mm,23,321.85
ACM-00032,sleeve 16mm,32,961.17
ACM-00033,insert 34mm,31,982.76
ACM-00034,gasket 52mm,19,685.20
ACM-00035,gasket 35mm,38,422.49
ACM-00036,coupler 58mm,13,982.13
ACM-00037,bearing 51mm,5,"6,685.82"
ACM-00038,bolt 21mm,2,"8,799.41"
ACM-00039,flange 38mm,29,125.63
ACM-00040,coupler 41mm,11,533.26
ACM-00041,insert 6mm,22,239.86
ACM-00042,gasket 4mm,36,201.82
ACM-00043,bolt 14mm,35,50.57
ACM-00044,gasket 43mm,31,899.02
ACM-00045,gasket 12mm,34,904.66
ACM-00046,coupler 57mm,12,436.68
ACM-00047,gasket 18mm,6,192.44
ACM-00048,housing 31mm,30,799.53
ACM-00049,valve 35mm,12,494.56
ACM-00050,spindle 16mm,34,836.12
ACM-00051,bolt 23mm,1,900.58
ACM-00052,gasket 3mm,27,854.85
ACM-00053,bolt 38mm,23,361.71
ACM-00054,housing 37mm,35,636.91
ACM-00055,washer 19mm,37,584.37
ACM-00056,valve 29mm,36,801.33
ACM-00057,bearing 48mm,11,62.97
ACM-00058,bearing 19mm,12,109.64
ACM-00059,gasket 18mm,38,299.40
ACM-00060,housing 28mm,17,422.99
ACM-00061,housing 9mm,1,"4,853.02"
ACM-00062,bearing 51mm,7,591.44
ACM-00063,washer 4mm,30,671.91
ACM-00064,flange 29mm,26,221.76
ACM-00065,bolt 18mm,8,882.64
ACM-00066,bracket 49mm,25,837.45
ACM-00067,bearing 20mm,28,289.88
ACM-00068,washer 59mm,8,427.40
ACM-00069,sleeve 5mm,2,351.25
ACM-00070,bracket 10mm,8,126.15
ACM-00071,housing 3mm,34,664.83
ACM-00072,coupler 26mm,28,365.53
ACM-00073,gasket 13mm,16,679.28
ACM-00074,sleeve 27mm,35,"9,869.87"
ACM-00075,bracket 19mm,17,234.02
ACM-00076,gasket 42mm,35,271.40
ACM-00077,bracket 43mm,38,184.70
ACM-00078,sleeve 50mm,33,349.81
ACM-00079,spindle 32mm,21,"1,186.80"
ACM-00080,gasket 49mm,4,696.65
ACM-00081,sleeve 55mm,26,369.29
ACM-00082,bearing 31mm,18,206.47
ACM-00083,washer 21mm,30,486.86
ACM-00084,flange 59mm,13,421.19
ACM-00085,insert 28mm,1,834.66
ACM-00086,bearing 36mm,3,87.38
ACM-00087,bracket 36mm,17,758.12
ACM-00088,housing 38mm,14,713.74
ACM-00089,sleeve 53mm,3,390.68
ACM-00090,gasket 48mm,11,108.10
ACM-00091,bracket 49mm,25,268.39
ACM-00092,housing 20mm,38,195.20
ACM-00093,spindle 49mm,35,138.49
ACM-00094,coupler 24mm,1,664.61
ACM-00095,gasket 22mm,35,529.03
ACM-00096,sleeve 44mm,35,30.14
ACM-00097,housing 15mm,1,66.47
ACM-00098,gasket 8mm,35,625.31
ACM-00099,valve 26mm,21,895.93
ACM-00100,bearing 32mm,17,664.15
ACM-00101,bearing 45mm,32,532.31
ACM-00102,valve 51mm,30,354.10
ACM-00103,housing 50mm,6,797.39
ACM-00104,sleeve 23mm,15,443.64
ACM-00105,flange 27mm,21,742.84
ACM-00106,spindle 57mm,21,826.59
ACM-00107,washer 26mm,23,359.52
ACM-00108,bolt 49mm,14,761.72
ACM-00109,bearing 19mm,9,337.15
ACM-00110,housing 16mm,29,559.80
ACM-00111,valve 19mm,22,575.98
ACM-00112,coupler 3mm,19,649.51
ACM-00113,bearing 8mm,36,691.52
ACM-00114,bolt 50mm,32,868.81
ACM-00115,bolt 23mm,35,435.45
ACM-00116,bracket 19mm,4,742.22
ACM-00117,washer 43mm,36,134.42
ACM-00118,flange 23mm,27,822.60
ACM-00119,valve 44mm,1,"4,602.81"
ACM-00120,flange 34mm,18,799.26
ACM-00121,sleeve 46mm,18,379.10
ACM-00122,gasket 23mm,13,12.12
ACM-00123,bolt 12mm,15,212.77
ACM-00124,sleeve 45mm,20,428.91
ACM-00125,housing 28mm,38,111.03
ACM-00126,spindle 32mm,3,752.65
ACM-00127,flange 18mm,22,326.77
ACM-00128,bracket 43mm,32,860.32
ACM-00129,housing 55mm,32,493.46
ACM-00130,insert 27mm,30,281.65
ACM-00131,valve 48mm,20,56.52
ACM-00132,flange 41mm,33,785.38
ACM-00133,washer 22mm,6,998.66
ACM-00134,gasket 6mm,32,348.46
ACM-00135,housing 57mm,36,179.97
ACM-00136,valve 40mm,34,393.80
ACM-00137,coupler 34mm,14,"4,946.26"
ACM-00138,insert 33mm,34,217.34
ACM-00139,bearing 43mm,9,861.41
ACM-00140,spindle 11mm,26,744.69
ACM-00141,gasket 10mm,39,157.93
ACM-00142,housing 52mm,37,683.04
ACM-00143,housing 36mm,20,184.17
ACM-00144,insert 5mm,23,173.23
ACM-00145,washer 33mm,12,424.82
ACM-00146,sleeve 25mm,35,308.28
ACM-00147,coupler 11mm,35,697.95
ACM-00148,flange 2mm,21,521.05
ACM-00149,insert 54mm,4,601.90
ACM-00150,sleeve 14mm,17,29.20
ACM-00151,gasket 17mm,6,444.25
ACM-00152,bearing 12mm,15,507.27
ACM-00153,coupler 31mm,35,433.92
ACM-00154,bolt 49mm,24,992.39
ACM-00155,flange 7mm,29,573.77
ACM-00156,valve 24mm,14,119.96
ACM-00157,coupler 14mm,11,209.82
ACM-00158,bolt 52mm,28,"3,373.82"
ACM-00159,bracket 32mm,18,374.50
