sku,description,qty,unit_price
BRI-00001,bearing 33mm,11,345.49
BRI-00002,flange 8mm,37,513.24
BRI-00003,spindle 20mm,32,715.51
BRI-00004,bracket 47mm,21,155.55
BRI-00005,housing 22mm,28,916.92
BRI-00006,valve 20mm,1,879.09
BRI-00007,housing 28mm,24,627.96
BRI-00008,coupler 25mm,3,848.73
BRI-00009,insert 50mm,35,292.42
BRI-00010,bolt 19mm,3,29.58
BRI-00011,housing 36mm,34,332.14
BRI-00012,valve 15mm,8,996.00
BRI-00013,coupler 4mm,16,66.47
BRI-00014,bracket 37mm,17,784.87
BRI-00015,sleeve 48mm,13,918.59
BRI-00016,bolt 51mm,5,624.42
BRI-00017,valve 5mm,27,67.01
BRI-00018,bearing 47mm,8,590.90
BRI-00019,housing 26mm,19,962.33
BRI-00020,bearing 33mm,5,376.13
BRI-00021,spindle 41mm,23,761.85
BRI-00022,bracket 44mm,9,776.08
BRI-00023,washer 56mm,11,360.37
BRI-00024,washer 53mm,3,875.80
BRI-00025,valve 37mm,11,971.83
BRI-00026,bracket 20mm,33,639.94
BRI-00027,spindle 58mm,38,619.42
BRI-00028,gasket 16mm,5,809.38
BRI-00029,spindle 43mm,32,642.29
BRI-00030,flange 38mm,25,662.72
BRI-00031,coupler 35mm,21,875.12
BRI-00032,gasket 19mm,21,916.36
BRI-00033,insert 34mm,30,311.33
BRI-00034,housing 40mm,1,342.74
BRI-00035,coupler 25mm,33,47.93
BRI-00036,coupler 49mm,24,535.45
BRI-00037,gasket 36mm,9,774.41
BRI-00038,coupler 6mm,18,331.98
BRI-00039,insert 15mm,34,824.53
BRI-00040,bearing 27mm,17,30.82
BRI-00041,flange 52mm,6,222.47
BRI-00042,washer 46mm,24,24.52
BRI-00043,bolt 26mm,19,162.53
BRI-00044,bolt 21mm,35,674.15
BRI-00045,flange 41mm,14,253.09
BRI-00046,spindle 46mm,6,945.34
BRI-00047,flange 30mm,2,504.35
BRI-00048,bolt 58mm,29,396.24
BRI-00049,coupler 43mm,36,532.82
BRI-00050,bracket 21mm,37,75.68
BRI-00051,coupler 54mm,18,77.66
BRI-00052,bolt 43mm,5,930.29
BRI-00053,washer 42mm,17,47.54
BRI-00054,valve 19mm,21,434.29
BRI-00055,bolt 56mm,13,841.74
BRI-00056,insert 27mm,24,975.35
BRI-00057,insert 30mm,8,524.07
BRI-00058,sleeve 9mm,23,392.56
BRI-00059,housing 46mm,32,149.88
BRI-00060,valve 12mm,25,410.37
BRI-00061,gasket 34mm,10,918.01
BRI-00062,gasket 44mm,18,562.43
BRI-00063,bracket 53mm,22,842.70
BRI-00064,bolt 31mm,11,691.47
BRI-00065,flange 26mm,29,548.08
BRI-00066,sleeve 18mm,34,526.63
BRI-00067,coupler 51mm,37,589.75
BRI-00068,flange 36mm,8,502.76
BRI-00069,bearing 28mm,23,325.62
BRI-00070,bearing 25mm,28,12.95
BRI-00071,spindle 56mm,19,657.67
BRI-00072,sleeve 36mm,27,501.07
BRI-00073,spindle 6mm,32,515.43
BRI-00074,housing 51mm,26,915.23
