sku,description,qty,unit_price
NOR-00001,flange 17mm,28,319.15
NOR-00002,housing 34mm,23,580.55
NOR-00003,insert 35mm,23,152.49
NOR-00004,sleeve 48mm,8,694.64
NOR-00005,coupler 44mm,6,141.03
NOR-00006,flange 7mm,18,77.78
NOR-00007,bearing 46mm,7,27.01
NOR-00008,washer 3mm,10,925.34
NOR-00009,valve 18mm,3,480.41
NOR-00010,bracket 43mm,10,616.31
NOR-00011,valve 2mm,37,184.36
NOR-00012,bracket 22mm,36,13.39
NOR-00013,housing 20mm,32,774.36
NOR-00014,flange 59mm,34,396.02
NOR-00015,housing 27mm,6,599.49
NOR-00016,sleeve 51mm,30,836.98
NOR-00017,housing 25mm,15,111.66
NOR-00018,insert 46mm,16,753.88
NOR-00019,spindle 2mm,7,278.41
NOR-00020,housing 7mm,10,349.38
NOR-00021,flange 42mm,12,87.12
NOR-00022,bearing 19mm,19,13.47
NOR-00023,gasket 53mm,22,545.74
NOR-00024,bolt 4mm,1,289.21
NOR-00025,flange 40mm,18,431.68
NOR-00026,valve 10mm,1,78.95
NOR-00027,bearing 32mm,21,111.87
NOR-00028,bolt 45mm,35,637.59
NOR-00029,sleeve 26mm,37,694.33
NOR-00030,coupler 32mm,17,52.22
NOR-00031,insert 59mm,8,570.96
NOR-00032,valve 42mm,27,568.33
NOR-00033,bearing 40mm,28,904.66
NOR-00034,insert 3mm,28,599.94
NOR-00035,housing 34mm,15,46.59
NOR-00036,washer 23mm,6,615.62
NOR-00037,insert 24mm,6,42.02
NOR-00038,washer 58mm,18,422.41
NOR-00039,bearing 36mm,36,827.51
NOR-00040,insert 27mm,20,948.86
NOR-00041,flange 14mm,6,578.44
NOR-00042,spindle 11mm,17,536.13
NOR-00043,spindle 37mm,30,535.41
NOR-00044,washer 27mm,8,856.21
NOR-00045,coupler 43mm,16,277.58
NOR-00046,housing 5mm,35,395.02
NOR-00047,sleeve 28mm,8,839.33
NOR-00048,housing 50mm,6,704.23
NOR-00049,flange 19mm,5,373.97
NOR-00050,insert 45mm,16,830.66
NOR-00051,gasket 55mm,38,33.27
NOR-00052,washer 34mm,32,57.52
NOR-00053,washer 4mm,15,273.14
NOR-00054,flange 7mm,16,757.22
NOR-00055,gasket 56mm,38,150.60
NOR-00056,bolt 12mm,17,802.29
NOR-00057,coupler 54mm,34,706.79
NOR-00058,bracket 17mm,34,430.60
NOR-00059,insert 32mm,25,271.16
NOR-00060,bearing 22mm,3,376.62
NOR-00061,valve 41mm,18,21.68
NOR-00062,flange 16mm,22,949.00
NOR-00063,spindle 38mm,12,583.18
NOR-00064,valve 33mm,8,119.26
NOR-00065,bracket 56mm,3,777.77
NOR-00066,bolt 33mm,23,497.33
NOR-00067,bolt 28mm,7,590.53
NOR-00068,housing 39mm,36,204.15
NOR-00069,washer 55mm,36,354.00
NOR-00070,gasket 58mm,14,261.86
NOR-00071,bracket 58mm,14,27.36
NOR-00072,sleeve 30mm,21,310.08
NOR-00073,gasket 36mm,15,368.79
NOR-00074,valve 12mm,19,432.26
NOR-00075,flange 45mm,5,813.18
NOR-00076,coupler 13mm,31,601.22
NOR-00077,valve 33mm,31,49.11
NOR-00078,housing 18mm,31,712.85
NOR-00079,valve 12mm,28,793.47
NOR-00080,bearing 48mm,12,626.20
NOR-00081,sleeve 7mm,32,640.07
NOR-00082,gasket 7mm,30,231.49
NOR-00083,bearing 53mm,33,265.12
NOR-00084,insert 47mm,21,266.65
NOR-00085,sleeve 3mm,28,27.93
NOR-00086,insert 43mm,10,756.22
NOR-00087,insert 19mm,11,202.23
NOR-00088,bearing 2mm,21,903.53
NOR-00089,insert 18mm,21,266.28
NOR-00090,spindle 8mm,20,153.41
NOR-00091,insert 21mm,12,8.14
NOR-00092,housing 15mm,7,145.74
NOR-00093,housing 19mm,11,705.11
NOR-00094,bearing 14mm,21,803.50
NOR-00095,sleeve 11mm,13,984.90
NOR-00096,insert 12mm,14,648.94
NOR-00097,flange 32mm,33,967.28
NOR-00098,bearing 5mm,20,812.64
NOR-00099,sleeve 11mm,6,179.22
NOR-00100,housing 39mm,9,172.64
NOR-00101,bolt 15mm,36,55.58
NOR-00102,bolt 22mm,2,261.55
NOR-00103,bracket 50mm,11,233.74
NOR-00104,bracket 50mm,13,351.73
NOR-00105,bolt 19mm,35,350.41
NOR-00106,sleeve 21mm,29,603.05
NOR-00107,spindle 36mm,23,257.31
NOR-00108,bracket 34mm,16,616.74
NOR-00109,housing 59mm,20,102.55
NOR-00110,spindle 13mm,20,73.91
NOR-00111,bearing 42mm,1,456.54
NOR-00112,coupler 5mm,16,398.32
NOR-00113,washer 46mm,19,541.66
NOR-00114,flange 55mm,27,912.11
NOR-00115,housing 59mm,36,271.04
NOR-00116,coupler 5mm,6,632.36
NOR-00117,gasket 28mm,27,379.35
NOR-00118,flange 14mm,33,87.90
NOR-00119,coupler 50mm,23,247.13
NOR-00120,bearing 38mm,7,769.56
NOR-00121,bearing 5mm,8,124.96
NOR-00122,valve 58mm,28,32.21
NOR-00123,valve 8mm,15,217.12
NOR-00124,washer 55mm,17,361.33
NOR-00125,insert 38mm,20,772.41
NOR-00126,valve 36mm,39,691.62
NOR-00127,flange 15mm,5,446.37
NOR-00128,coupler 41mm,15,11.70
NOR-00129,washer 46mm,17,209.21
NOR-00130,housing 26mm,33,301.33
NOR-00131,flange 2mm,22,647.30
NOR-00132,coupler 11mm,22,12.01
NOR-00133,washer 49mm,1,97.26
NOR-00134,gasket 55mm,7,318.12
NOR-00135,bearing 56mm,16,160.81
NOR-00136,flange 35mm,4,73.94
NOR-00137,coupler 43mm,16,672.19
NOR-00138,insert 52mm,16,984.24
NOR-00139,bolt 27mm,26,571.58
NOR-00140,bracket 32mm,20,866.69
NOR-00141,valve 17mm,26,746.92
NOR-00142,flange 56mm,20,163.02
NOR-00143,washer 18mm,29,948.84
NOR-00144,bearing 22mm,8,682.48
NOR-00145,bearing 19mm,32,133.64
NOR-00146,coupler 43mm,31,403.86
NOR-00147,spindle 19mm,32,450.48
NOR-00148,valve 3mm,17,519.71
NOR-00149,washer 52mm,11,765.26
NOR-00150,bolt 48mm,15,358.98
NOR-00151,bolt 28mm,5,664.69
NOR-00152,housing 20mm,15,819.47
NOR-00153,spindle 14mm,28,261.35
NOR-00154,insert 16mm,12,593.37
NOR-00155,housing 39mm,2,252.06
NOR-00156,flange 17mm,20,876.15
NOR-00157,bolt 44mm,23,950.62
NOR-00158,valve 3mm,11,15.60
NOR-00159,coupler 12mm,5,668.27
NOR-00160,bracket 46mm,32,2.25
NOR-00161,valve 49mm,20,389.97
NOR-00162,washer 21mm,34,436.53
NOR-00163,spindle 49mm,6,321.44
NOR-00164,spindle 23mm,27,814.94
NOR-00165,coupler 21mm,20,604.23
NOR-00166,coupler 12mm,3,535.68
NOR-00167,housing 32mm,7,679.40
NOR-00168,gasket 42mm,31,747.12
NOR-00169,housing 27mm,32,691.94
NOR-00170,bracket 12mm,10,147.14
NOR-00171,sleeve 56mm,9,788.77
NOR-00172,sleeve 35mm,22,993.68
NOR-00173,valve 3mm,37,888.44
NOR-00174,sleeve 17mm,34,550.17
NOR-00175,washer 18mm,10,958.40
NOR-00176,bolt 55mm,35,639.30
NOR-00177,valve 21mm,21,301.73
NOR-00178,gasket 23mm,27,682.47
NOR-00179,housing 51mm,33,207.22
NOR-00180,spindle 6mm,16,847.55
NOR-00181,insert 32mm,36,713.39
NOR-00182,bolt 36mm,25,670.86
NOR-00183,washer 6mm,17,169.35
NOR-00184,sleeve 46mm,22,774.66
NOR-00185,valve 41mm,6,738.71
NOR-00186,coupler 16mm,1,993.89
NOR-00187,flange 9mm,32,990.85
NOR-00188,washer 47mm,6,476.17
NOR-00189,coupler 54mm,20,149.47
NOR-00190,spindle 14mm,17,935.76
NOR-00191,bearing 43mm,24,265.44
NOR-00192,flange 15mm,27,189.00
NOR-00193,bearing 54mm,13,453.32
NOR-00194,bracket 10mm,9,952.54
NOR-00195,bearing 37mm,15,850.20
NOR-00196,valve 58mm,13,559.42
NOR-00197,sleeve 43mm,21,222.32
NOR-00198,housing 45mm,9,525.54
NOR-00199,insert 37mm,25,317.21
NOR-00200,gasket 39mm,37,956.39
NOR-00201,flange 16mm,35,927.87
NOR-00202,coupler 29mm,16,572.24
NOR-00203,bracket 56mm,11,860.83
NOR-00204,gasket 48mm,11,147.78
NOR-00205,gasket 40mm,3,37.87
NOR-00206,bearing 21mm,31,572.10
NOR-00207,bracket 46mm,31,538.47
NOR-00208,bracket 55mm,19,171.11
NOR-00209,sleeve 25mm,13,480.59
NOR-00210,spindle 39mm,38,879.60
NOR-00211,valve 3mm,10,758.59
NOR-00212,bolt 30mm,3,677.14
NOR-00213,sleeve 20mm,8,814.42
