sku,description,qty,unit_price
OSL-00001,coupler 50mm,12,607.03
OSL-00002,valve 7mm,2,510.75
OSL-00003,housing 29mm,38,236.44
OSL-00004,bracket 16mm,36,954.68
OSL-00005,spindle 34mm,18,230.52
OSL-00006,sleeve 20mm,29,841.86
OSL-00007,washer 52mm,36,852.20
OSL-00008,flange 31mm,5,280.72
OSL-00009,valve 20mm,5,966.16
OSL-00010,spindle 5mm,31,715.20
OSL-00011,gasket 45mm,8,297.24
OSL-00012,gasket 24mm,19,425.20
OSL-00013,gasket 35mm,12,379.52
OSL-00014,flange 8mm,22,215.51
OSL-00015,coupler 24mm,30,763.26
OSL-00016,coupler 8mm,14,343.32
OSL-00017,housing 33mm,8,951.85
OSL-00018,coupler 59mm,7,101.12
OSL-00019,spindle 7mm,34,727.94
OSL-00020,gasket 49mm,11,868.61
OSL-00021,insert 6mm,34,527.61
OSL-00022,bearing 35mm,18,655.12
OSL-00023,housing 40mm,7,112.81
OSL-00024,bearing 41mm,27,177.24
OSL-00025,bracket 23mm,26,600.84
OSL-00026,gasket 56mm,23,124.89
OSL-00027,gasket 30mm,7,749.76
OSL-00028,valve 42mm,39,256.55
OSL-00029,insert 5mm,32,446.10
OSL-00030,sleeve 54mm,5,137.72
OSL-00031,bearing 55mm,19,711.64
OSL-00032,bolt 19mm,2,230.97
OSL-00033,spindle 51mm,23,655.12
OSL-00034,spindle 45mm,20,512.55
OSL-00035,spindle 7mm,25,396.68
OSL-00036,spindle 6mm,12,955.00
OSL-00037,coupler 21mm,17,654.34
OSL-00038,insert 19mm,8,89.01
OSL-00039,valve 10mm,23,233.97
OSL-00040,sleeve 56mm,24,625.59
OSL-00041,coupler 37mm,31,620.82
OSL-00042,bracket 51mm,36,911.14
OSL-00043,coupler 2mm,7,651.53
OSL-00044,bracket 54mm,8,675.68
OSL-00045,valve 16mm,26,805.81
OSL-00046,coupler 58mm,39,553.23
OSL-00047,coupler 2mm,23,517.49
OSL-00048,valve 8mm,25,45.44
OSL-00049,bolt 20mm,14,699.23
OSL-00050,bracket 48mm,37,596.25
OSL-00051,bearing 33mm,28,785.37
OSL-00052,valve 45mm,5,127.82
OSL-00053,insert 39mm,21,505.66
OSL-00054,flange 16mm,26,972.20
OSL-00055,bolt 43mm,11,117.87
