repo	theme	total	open	top
anthropics/claude-code	compaction	2229	261	#5644(139,closed) Feature Request: Enable 1M Context Window for Claude Code || #17428(116,open) [Feature Request] Enhanced /compact with file-backed summaries and selective res || #7530(100,closed) [BUG] Error during compaction
openai/codex	compaction	662	282	#11325(155,closed) Manual /compact command in Codex app || #4106(119,open) Control over auto-compaction parameters || #14860(93,closed) Error running remote compact task
google-gemini/gemini-cli	compaction	58	1	#23165(8,closed) feat(cli): add /context command to show context window breakdown || #10601(4,closed) /clear context window but not the command history || #15050(2,closed) [Feature Request] Add confirmation prompt on Ctrl+C to prevent accidental contex
anomalyco/opencode	compaction	409	91	#8140(81,closed) Feature Request: Configurable context limit and auto-compaction threshold || #32157(79,open) [FEATURE]:Configurable mid-run prompt delivery: queue vs steer, with compaction- || #4659(46,closed) [FEATURE] Sliding window context management for long-running sessions
cline/cline	compaction	68	20	#4389(10,open) Improve Context Window Management and Large File Handling || #1782(7,closed) API Request Stuck in Loading State with 0 Tokens and Context Window || #5924(6,closed) "Use compact system" prompt available only in LM Studio provider
anthropics/claude-code	instructions	1065	145	#6235(6559,closed) Feature Request: Support AGENTS.md. || #31005(461,open) Support for AGENTS.md and .agents/skills/, the community has been asking since A || #65961(186,open) [MODEL] Claude verbose code comments by default — ignores instructions to stop.
openai/codex	instructions	130	53	#12115(111,open) Dynamically loading nested AGENTS.md || #6038(36,open) Ability to include files in AGENTS.md || #11356(25,open) Native "Commit" button ignores custom Git instructions and generates empty commi
google-gemini/gemini-cli	instructions	121	5	#805(42,closed) FR write down my own "@" or "/" commands as defined in the GEMINI.md file || #13852(17,open) `GEMINI.md` instructions are ignored || #12345(14,closed) Add AGENTS.md to the context filename list by default
anomalyco/opencode	instructions	88	12	#6316(29,closed) [FEATURE]: Context Auto-Discovery: Load AGENTS.md from Directories When Accessin || #2225(23,closed) Automatically load @ referenced files in AGENTS.md into context || #11532(17,closed) AGENTS.md not loaded after /new
cline/cline	instructions	6	0	#5033(19,closed) Feature Proposal: Support for Agent Rules Standard via AGENTS.md File || #4833(5,closed) AI Assistant Ignores Project Rules Despite Clear Instructions in .clinerules/ || #7062(4,closed) Feature Request: Automatically check for agent instruction files (AGENTS.md, .cl
anthropics/claude-code	permissions	3342	561	#28240(205,open) [BUG] Permission prompt incorrectly triggers on cd instead of the actual command || #16561(176,closed) Feature: Parse compound Bash commands and match each component against permissio || #29214(81,open) Remote Control: mobile app shows permission prompts despite --dangerously-skip-p
openai/codex	permissions	722	443	#2998(226,open) IDE-integrated diff / approval || #3085(125,closed) Allow specifying specific commands that don't need permission to run || #2860(110,closed) Unusable on Windows due to permission ask for every shell command
google-gemini/gemini-cli	permissions	222	10	#24517(65,closed) 403 PERMISSION_DENIED for Google One AI Premium subscriber - account correctly i || #4340(17,closed) "Always Approve" Tool Permission Not Persisting Across Terminal Sessions || #13269(16,closed) VS Code Gemini Code Assist: Agentic mode blocks shell commands with no approval 
anomalyco/opencode	permissions	553	119	#8463(93,closed) [FEATURE]: Add `--dangerously-skip-permissions` (aka YOLO mode) || #239(44,closed) Implement permissions in TUI || #11831(34,closed) feat: YOLO Mode — Auto-Approve All Permission Prompts
cline/cline	permissions	58	12	#11(10,closed) Auto Approval for Steps || #108(9,closed) Suggestion: No approval needed for read_file || #7721(3,closed) Unable to enable auto-approve for MCP tool
anthropics/claude-code	cost_tokens	2269	436	#16157(724,open) [BUG] Instantly hitting usage limits with Max subscription || #38335(545,open) [BUG] Claude Max plan session limits exhausted abnormally fast since March 23, 2 || #46829(342,closed) Cache TTL silently regressed from 1h to 5m around early March 2026, causing quot
openai/codex	cost_tokens	529	323	#28879(560,closed) Codex (gpt-5.5, Plus plan) — rate-limit cost per token jumped ~10-20x since June || #14593(308,closed) Burning tokens very fast || #23794(251,closed) Codex Desktop no longer shows visible context/token usage indicator
google-gemini/gemini-cli	cost_tokens	93	3	#26856(170,closed) Your idiotic AI disobeyed me completely lied and has now cost me 300 dollars wor || #28761(38,closed) [Bug] Usage limit reached despite 1–8% usage on Gemini Code Assist Standard (CLI || #2657(15,closed) Google AI Ultra Usage Limit Increase
anomalyco/opencode	cost_tokens	447	117	#28846(103,closed) [FEATURE]: Adjust Go usage limits after DeepSeek V4 Pro permanent 75% price redu || #13003(50,open) [FEATURE]: Display token usage information in the TUI || #4925(29,closed) [FEATURE]: Display total cost for session
cline/cline	cost_tokens	91	12	#4584(11,closed) VSCode Language Model API provider dramatically under-reports token usage || #256(8,closed) openrouter has added prompt caching to anthropic models, update possible? || #1792(6,closed) got 404 No endpoints found that support cache control error
anthropics/claude-code	edit_failures	135	28	#33932(256,open) [FEATURE] VS Code Extension: Diff review UI similar to GitHub Copilot Edits Revi || #8660(88,open) [BUG] Edit preview/diff not showing in VSCode extension UI when confirming chang || #25018(73,closed) [FEATURE] "Add a VS Code setting to disable auto-opening diff tabs when Claude e
openai/codex	edit_failures	206	131	#13574(27,closed) 5.3 apply_patch fails under sandboxed default permission on Windows || #29072(25,open) Windows Codex App: apply_patch fails because codex-windows-sandbox-setup.exe can || #593(21,closed) GPT-4.1 failing to use `apply_patch`
